iter	Logloss
0	0.6643376877
1	0.6381275715
2	0.6129895029
3	0.5897999998
4	0.5691460484
5	0.5491809182
6	0.5321591361
7	0.516411792
8	0.5022394511
9	0.4919498461
10	0.4802403244
11	0.4708929165
12	0.4615477308
13	0.4522046029
14	0.4454067637
15	0.4383405657
16	0.4316722886
17	0.4258910319
18	0.4186653164
19	0.4141244413
20	0.409446955
21	0.4041930513
22	0.4001041401
23	0.3959706748
24	0.3917970085
25	0.3878103089
26	0.3844133888
27	0.3812756128
28	0.3776051987
29	0.3750424271
30	0.3723553145
31	0.3704650234
32	0.3680233834
33	0.3659434113
34	0.3642556178
35	0.3619514209
36	0.3602022115
37	0.3580963908
38	0.3560636876
39	0.3546237787
40	0.3529626078
41	0.3512387013
42	0.3494075742
43	0.3484200855
44	0.3470630239
45	0.3461192672
46	0.3453005929
47	0.3445124489
48	0.3435307127
49	0.342571963
50	0.3417564147
51	0.3412123596
52	0.3404519921
53	0.3399069732
54	0.3391031163
55	0.3384545383
56	0.3377969052
57	0.3370333731
58	0.3363938202
59	0.3358647298
60	0.3354199779
61	0.3347589151
62	0.3343209918
63	0.333911289
64	0.333514436
65	0.3332400798
66	0.3327940016
67	0.3324704842
68	0.3319718783
69	0.3315379915
70	0.3313172617
71	0.3311279
72	0.3307321327
73	0.3303106727
74	0.3299636396
75	0.3296269125
76	0.3294314679
77	0.3291413722
78	0.3287973319
79	0.328636508
80	0.3283191062
81	0.328151035
82	0.3277728412
83	0.3275655976
84	0.3274517572
85	0.3272433128
86	0.32709445
87	0.3269038045
88	0.3267439218
89	0.3266237634
90	0.3264931546
91	0.3263568201
92	0.3261493137
93	0.3259630517
94	0.3257580785
95	0.3256137637
96	0.3254885825
97	0.3252691002
98	0.3250870361
99	0.3249708083
100	0.3248543423
101	0.3247630464
102	0.324663123
103	0.3244514543
104	0.3243691409
105	0.3242568343
106	0.3241012276
107	0.3239684574
108	0.3238509882
109	0.3237650546
110	0.3235873914
111	0.323462059
112	0.3233605683
113	0.3232420336
114	0.323135251
115	0.3230163187
116	0.32287791
117	0.3228037043
118	0.3226975458
119	0.3226456405
120	0.3225939781
121	0.3225347157
122	0.322482402
123	0.3223731935
124	0.3223186652
125	0.3222647436
126	0.3221835378
127	0.3221071887
128	0.3219941747
129	0.321937994
130	0.3218803786
131	0.3217928816
132	0.3217444249
133	0.3216998562
134	0.321593891
135	0.3215449463
136	0.3214950893
137	0.321462885
138	0.3214051587
139	0.321352599
140	0.3213079864
141	0.3212522635
142	0.3212012278
143	0.3211467837
144	0.3210920328
145	0.3210591981
146	0.3209789238
147	0.3209191971
148	0.3208623546
149	0.3208011836
150	0.3206998971
151	0.3206424813
152	0.3205998782
153	0.320551962
154	0.3204842343
155	0.3204531322
156	0.3204207557
157	0.320380573
158	0.3203405042
159	0.3203065186
160	0.3202498553
161	0.3202063211
162	0.3201816754
163	0.3201219477
164	0.3200826791
165	0.3200538165
166	0.3200118078
167	0.3199761678
168	0.3199341386
169	0.3199007312
170	0.3198542943
171	0.3198258157
172	0.319756894
173	0.3197133711
174	0.3196831296
175	0.3196353854
176	0.3195981921
177	0.3195525265
178	0.3195298388
179	0.3195028001
180	0.319469612
181	0.3194470406
182	0.3194005522
183	0.3193653284
184	0.3193437674
185	0.3193172172
186	0.3192921565
187	0.3192657769
188	0.3192118175
189	0.3191894317
190	0.3191599773
191	0.3191435905
192	0.3191274041
193	0.3191007291
194	0.3190672925
195	0.3190298145
196	0.3190044524
197	0.3189645268
198	0.3189125376
199	0.3188932486
200	0.3188723291
201	0.3188455946
202	0.3188209876
203	0.3187969786
204	0.3187752001
205	0.318752314
206	0.3187232746
207	0.3186974845
208	0.3186564553
209	0.3186353576
210	0.3186104448
211	0.3185841223
212	0.3185601569
213	0.3185391149
214	0.3185128321
215	0.3184797616
216	0.3184512046
217	0.3184291615
218	0.3184032267
219	0.3183745316
220	0.3183522162
221	0.3183298612
222	0.3183062323
223	0.3182771875
224	0.3182552001
225	0.3182129419
226	0.3181952264
227	0.3181770381
228	0.318151503
229	0.3181368991
230	0.3181107659
231	0.3180881145
232	0.3180649009
233	0.3180461161
234	0.3180277668
235	0.3180061703
236	0.3179791651
237	0.3179506794
238	0.3179286769
239	0.3179112759
240	0.3178930246
241	0.3178686729
242	0.3178521635
243	0.3178196145
244	0.3178010574
245	0.3177842743
246	0.3177695475
247	0.3177339074
248	0.3177165838
249	0.3176969229
250	0.3176741352
251	0.3176453858
252	0.3176305946
253	0.317601747
254	0.3175832044
255	0.3175623384
256	0.3175419994
257	0.3175196095
258	0.3175022368
259	0.3174878042
260	0.3174690984
261	0.3174554039
262	0.3174331836
263	0.3174139304
264	0.3173968128
265	0.3173712174
266	0.3173271081
267	0.317300283
268	0.3172746074
269	0.3172492323
270	0.3172389532
271	0.3172236883
272	0.3172032205
273	0.3171826863
274	0.3171571754
275	0.3171409312
276	0.3171119641
277	0.3170939682
278	0.317072123
279	0.3170397439
280	0.3170243592
281	0.3170072065
282	0.3169718763
283	0.3169536288
284	0.316933147
285	0.3169129764
286	0.3168877726
287	0.3168745685
288	0.3168513429
289	0.3168320903
290	0.3168158995
291	0.3167904526
292	0.3167599642
293	0.3167394281
294	0.3167243946
295	0.3167078514
296	0.3166915177
297	0.3166639197
298	0.3166448947
299	0.3166271545
300	0.3166110492
301	0.3165946084
302	0.3165727563
303	0.3165520662
304	0.3165180616
305	0.3164901006
306	0.3164699275
307	0.3164559233
308	0.3164437211
309	0.3164287402
310	0.3164117977
311	0.3163917581
312	0.3163690817
313	0.3163466531
314	0.3163281235
315	0.3163049845
316	0.3162851214
317	0.3162626419
318	0.3162338867
319	0.3162126807
320	0.3161929264
321	0.3161650732
322	0.3161410453
323	0.3161251776
324	0.3161063603
325	0.3160882022
326	0.31607238
327	0.3160619971
328	0.3160402571
329	0.3160201621
330	0.3159935271
331	0.3159730669
332	0.3159538262
333	0.3159358837
334	0.3159166694
335	0.3158971283
336	0.315881131
337	0.3158642163
338	0.3158487335
339	0.3158213377
340	0.3157939533
341	0.3157695929
342	0.3157493133
343	0.3157287712
344	0.3156989384
345	0.3156770708
346	0.3156490945
347	0.3156247955
348	0.3155975742
349	0.3155763641
350	0.3155579047
351	0.3155319149
352	0.3155047265
353	0.3154800649
354	0.3154654518
355	0.3154462617
356	0.3154238694
357	0.3154023194
358	0.3153809105
359	0.3153515363
360	0.3153294987
361	0.3153105327
362	0.3152814083
363	0.3152570473
364	0.315229334
365	0.3152112412
366	0.3151908574
367	0.3151729466
368	0.3151424668
369	0.3151184556
370	0.3150932711
371	0.3150654761
372	0.3150388343
373	0.3150107648
374	0.3149899866
375	0.314966288
376	0.3149260125
377	0.3149031418
378	0.3148757387
379	0.3148518292
380	0.3148295495
381	0.3148065741
382	0.314783648
383	0.3147569163
384	0.314734781
385	0.314711146
386	0.3146815682
387	0.314656957
388	0.3146209135
389	0.3146001411
390	0.3145636786
391	0.3145440307
392	0.3145181671
393	0.3144937288
394	0.3144633963
395	0.3144423586
396	0.3144187358
397	0.3143950613
398	0.3143634626
399	0.3143346174
400	0.314313149
401	0.3142892323
402	0.314259419
403	0.3142333755
404	0.314202061
405	0.3141765538
406	0.3141506658
407	0.3141227777
408	0.3141011396
409	0.3140647825
410	0.3140437044
411	0.3140164954
412	0.313995111
413	0.3139720915
414	0.313942594
415	0.3139133686
416	0.3138899604
417	0.3138603056
418	0.3138373001
419	0.313810146
420	0.3137758612
421	0.3137569461
422	0.3137335955
423	0.3137109169
424	0.3136911733
425	0.3136624796
426	0.3136341498
427	0.3136069663
428	0.3135804302
429	0.31355993
430	0.3135321494
431	0.3135080603
432	0.3134858007
433	0.3134627117
434	0.3134353604
435	0.3134076189
436	0.3133837083
437	0.3133536067
438	0.3133234356
439	0.3133006006
440	0.3132783748
441	0.3132586854
442	0.3132340717
443	0.3132116016
444	0.3131866608
445	0.3131601483
446	0.3131307224
447	0.3131067989
448	0.3130754136
449	0.3130540832
450	0.3130268401
451	0.3129980297
452	0.3129791185
453	0.312956418
454	0.312932551
455	0.3129096795
456	0.3128909484
457	0.3128657801
458	0.3128384033
459	0.3128146042
460	0.3127943318
461	0.3127565042
462	0.3127272058
463	0.312702717
464	0.3126772935
465	0.3126494866
466	0.3126247989
467	0.3126003256
468	0.312577579
469	0.3125509239
470	0.312520239
471	0.3124816774
472	0.3124559719
473	0.3124323547
474	0.3124160436
475	0.3123864335
476	0.3123574477
477	0.312338963
478	0.3123121452
479	0.3122871583
480	0.3122649628
481	0.3122441639
482	0.3122222375
483	0.3121865509
484	0.3121633126
485	0.3121397118
486	0.3121151938
487	0.3120984022
488	0.3120679245
489	0.3120508408
490	0.3120276017
491	0.3119984625
492	0.3119767811
493	0.3119506647
494	0.3119286723
495	0.3119022191
496	0.3118851506
497	0.3118647554
498	0.3118438587
499	0.3118235158
500	0.3117963256
501	0.3117746565
502	0.3117539961
503	0.3117307023
504	0.3117113058
505	0.3116881918
506	0.3116670788
507	0.3116443605
508	0.3116185341
509	0.3115993115
510	0.3115674383
511	0.3115488559
512	0.3115312718
513	0.3115111067
514	0.3114918555
515	0.3114727895
516	0.3114534919
517	0.3114288161
518	0.3114063801
519	0.3113832923
520	0.3113489437
521	0.3113266735
522	0.3113032074
523	0.3112835519
524	0.311259302
525	0.3112349771
526	0.311213189
527	0.3111929588
528	0.3111723509
529	0.3111472084
530	0.3111269795
531	0.311104945
532	0.3110829195
533	0.3110618095
534	0.3110421006
535	0.311018552
536	0.3109949043
537	0.3109757403
538	0.3109603635
539	0.3109424478
540	0.3109264486
541	0.3109067312
542	0.3108813218
543	0.3108608249
544	0.3108348684
545	0.3108089066
546	0.3107876171
547	0.3107640623
548	0.3107449439
549	0.3107280175
550	0.3107026051
551	0.3106651483
552	0.3106442077
553	0.3106264095
554	0.3106036117
555	0.3105786115
556	0.3105546491
557	0.3105286734
558	0.3105028733
559	0.3104894427
560	0.3104746372
561	0.3104529028
562	0.3104277797
563	0.3104058171
564	0.310381769
565	0.3103655442
566	0.3103453534
567	0.3103272148
568	0.3103093479
569	0.3102841283
570	0.3102508023
571	0.3102269543
572	0.3102107262
573	0.3101815621
574	0.3101625432
575	0.3101452655
576	0.3101229462
577	0.3101037034
578	0.3100788475
579	0.3100524833
580	0.3100343819
581	0.3100168617
582	0.3099925416
583	0.3099649544
584	0.3099472382
585	0.3099355026
586	0.3099151399
587	0.3098926567
588	0.3098723077
589	0.3098449109
590	0.3098177787
591	0.3098004846
592	0.3097789499
593	0.3097574272
594	0.3097394439
595	0.3097202794
596	0.3096969057
597	0.3096739666
598	0.3096514449
599	0.3096365903
600	0.3096225264
601	0.3096017561
602	0.3095794951
603	0.3095555096
604	0.3095367621
605	0.3095135225
606	0.3094898001
607	0.3094717879
608	0.3094566003
609	0.3094317597
610	0.309417645
611	0.3094025824
612	0.309375053
613	0.3093505651
614	0.3093326637
615	0.3093160468
616	0.3092857769
617	0.3092672854
618	0.3092502373
619	0.3092265383
620	0.3092076641
621	0.3091918441
622	0.3091776896
623	0.3091591248
624	0.3091424058
625	0.3091203783
626	0.3091025698
627	0.3090859085
628	0.3090700385
629	0.3090490257
630	0.3090227237
631	0.3090030005
632	0.3089837219
633	0.3089611195
634	0.3089355129
635	0.3089187591
636	0.3088987897
637	0.3088817943
638	0.3088577665
639	0.3088394097
640	0.3088217773
641	0.3087972394
642	0.3087834988
643	0.3087612569
644	0.3087360593
645	0.3087181103
646	0.3086962908
