iter	Passed	Remaining
529	37212	8214
530	37287	8145
531	37346	8073
532	37401	7999
533	37472	7929
534	37544	7859
535	37605	7787
536	37651	7712
537	37703	7638
538	37771	7568
539	37841	7498
540	37910	7428
541	37970	7355
542	38022	7282
543	38093	7212
544	38155	7141
545	38227	7071
546	38294	7000
547	38356	6929
548	38408	6856
549	38482	6786
550	38536	6714
551	38605	6644
552	38673	6573
553	38756	6506
554	38832	6437
555	38902	6367
556	38960	6295
557	39026	6224
558	39087	6153
559	39154	6082
560	39215	6011
561	39286	5941
562	39343	5870
563	39398	5798
564	39469	5728
565	39522	5656
566	39582	5584
567	39635	5512
568	39702	5442
569	39750	5369
570	39815	5299
571	39881	5229
572	39936	5157
573	40000	5087
574	40055	5015
575	40132	4946
576	40198	4876
577	40269	4807
578	40329	4736
579	40401	4667
580	40461	4596
581	40532	4526
582	40587	4455
583	40648	4385
584	40698	4313
585	40771	4244
586	40839	4174
587	40914	4105
588	40987	4036
589	41058	3966
590	41127	3896
591	41191	3826
592	41251	3756
593	41317	3686
594	41406	3618
595	41476	3549
596	41535	3478
597	41587	3407
598	41640	3336
599	41715	3267
600	41768	3196
601	41824	3126
602	41873	3055
603	41939	2985
604	42010	2916
605	42062	2845
606	42126	2776
607	42188	2706
608	42263	2637
609	42308	2566
610	42383	2497
611	42453	2427
612	42513	2358
613	42591	2289
614	42659	2219
615	42722	2149
616	42786	2080
617	42842	2010
618	42913	1941
619	42993	1872
620	43048	1802
621	43096	1732
622	43178	1663
623	43240	1593
624	43298	1524
625	43367	1454
626	43433	1385
627	43485	1315
628	43561	1246
629	43635	1177
630	43712	1108
631	43768	1038
632	43820	969
633	43876	899
634	43937	830
635	44001	761
636	44069	691
637	44118	622
638	44195	553
639	44263	484
640	44335	414
641	44398	345
642	44473	276
643	44534	207
644	44601	138
645	44669	69
646	44729	0
